"","PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
"181","Mandsour",23,"GEN","Madhya Pradesh [2000 Onwards]","Sudhir Gupta","Bharatiya Janta Party",1626571,1161349,"71.40%",303649,"26.10%"
"182","Mangaldoi",8,"GEN","Assam","Ramen Deka","Bharatiya Janta Party",1515676,1233237,"81.40%",22884,"1.90%"
"183","Mathura",17,"GEN","Uttar Pradesh [2000 Onwards]","Hema Malini","Bharatiya Janta Party",1682260,1076868,"64.00%",330743,"30.70%"
"184","Meerut",10,"GEN","Uttar Pradesh [2000 Onwards]","Rajendra Agarwal","Bharatiya Janta Party",1764388,1113384,"63.10%",232326,"20.90%"
"185","Misrikh",32,"SC","Uttar Pradesh [2000 Onwards]","Anju Bala","Bharatiya Janta Party",1725585,998314,"57.90%",87363,"8.80%"
"186","Mohanlalganj",34,"SC","Uttar Pradesh [2000 Onwards]","Kaushal Kishore","Bharatiya Janta Party",1838194,1116588,"60.70%",145416,"13.00%"
"187","Moradabad",6,"GEN","Uttar Pradesh [2000 Onwards]","Kunwer Sarvesh Kumar","Bharatiya Janta Party",1772046,1127965,"63.70%",87504,"7.80%"
"188","Morena",1,"GEN","Madhya Pradesh [2000 Onwards]","Anoop Mishra","Bharatiya Janta Party",1702492,854279,"50.20%",132981,"15.60%"
"189","Mumbai North",26,"GEN","Maharashtra","Gopal Chinayya Shetty","Bharatiya Janta Party",1783870,946562,"53.10%",446582,"47.20%"
"190","Mumbai North Central",29,"GEN","Maharashtra","Poonam Mahajan Alias Poonam Vajendla Rao","Bharatiya Janta Party",1738894,845292,"48.60%",186771,"22.10%"
"191","Mumbai North East",28,"GEN","Maharashtra","Kirit Somaiya","Bharatiya Janta Party",1668357,861761,"51.70%",317122,"36.80%"
"192","Muzaffarnagar",3,"GEN","Uttar Pradesh [2000 Onwards]","(DR.) SANJEEV KUMAR BALYAN","Bharatiya Janta Party",1588483,1107434,"69.70%",401150,"36.20%"
"193","Muzaffarpur",15,"GEN","Bihar [2000 Onwards]","Ajay Nishad","Bharatiya Janta Party",1551363,948887,"61.20%",222422,"23.40%"
"194","Mysore",21,"GEN","Karnataka","Prathap Simha","Bharatiya Janta Party",1723134,1159594,"67.30%",31608,"2.70%"
"195","Nagaur",14,"GEN","Rajasthan","C R Choudhary","Bharatiya Janta Party",1678662,1004019,"59.80%",75218,"7.50%"
"196","Nagina",5,"SC","Uttar Pradesh [2000 Onwards]","Yashwant Singh","Bharatiya Janta Party",1493411,942196,"63.10%",92390,"9.80%"
"197","Nagpur",10,"GEN","Maharashtra","Gadkari Nitin Jairam","Bharatiya Janta Party",1900787,1085058,"57.10%",284828,"26.30%"
"198","Nainital-Udhamsingh Nagar",4,"GEN","Uttarakhand","Bhagat Singh Koshyari","Bharatiya Janta Party",1610810,1101435,"68.40%",284717,"25.80%"
"199","Nandurbar",1,"ST","Maharashtra","Dr.Gavit Heena Vaijaykumar","Bharatiya Janta Party",1672715,1116676,"66.80%",106905,"9.60%"
"200","Narsapuram",26,"GEN","Andhra Pradesh [2014 Onwards]","Gokaraju Ganga Raju","Bharatiya Janta Party",1325143,1088951,"82.20%",85351,"7.80%"
"201","Navsari",25,"GEN","Gujarat","C. R. Patil","Bharatiya Janta Party",1764622,1160747,"65.80%",558116,"48.10%"
"202","Nawada",39,"GEN","Bihar [2000 Onwards]","Giriraj Singh","Bharatiya Janta Party",1675789,884441,"52.80%",140157,"15.80%"
"203","New Delhi",4,"GEN","Delhi [1977 Onwards]","Meenakashi Lekhi","Bharatiya Janta Party",1490147,969812,"65.10%",162708,"16.80%"
